ITEM_ID,DOMAIN_ID,MISSING_ATTRIBUTES_PI,MISSING_ATTRIBUTES_FT
MLB802818139,MLB-RACQUETS,GTIN,MODEL; GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB802815864,MLB-RACQUETS,GTIN,MODEL; GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798480797,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798478895,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798475396,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798459043,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798459042,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798404168,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB798397390,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB795595385,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB795586418,MLB-RACQUETS,GTIN,GRIP_SIZE; COMPOSITION; HEAD_SIZE; LENGTH; UNSTRUNG_WEIGHT; BALANCE
MLB904872051,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899433,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904902609,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904902606,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904902396,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904902216,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904901940,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904901937,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904901813,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904901809,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904901806,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899992,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899988,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899660,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899658,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899654,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899156,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904899010,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904898829,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904898824,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904898822,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904896191,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904896180,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904895871,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904895571,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904878227,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904877786,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904875570,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904875569,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904875523,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904875449,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904874971,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904873572,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904872237,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904871785,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904871641,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904870602,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904870601,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904866490,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB904866066,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,GTIN,LINE; NAME; SHAMPOO_CONDITIONER_PRESENTATION; TOTAL_CONTENT_VOLUME; TOTAL_CONTENT_VOLUME_KIT; HAIR_TYPE; HAIR_CARE_TYPE
MLB887993452,MLB-TENNIS_BALLS,GTIN,BRAND; MODEL; BALLS_NUMBER; TENNIS_BALL_TYPE; SALE_FORMAT; TENNIS_COURT_TYPE; TENNIS_BALL_COLOR
MLB887987907,MLB-TENNIS_BALLS,GTIN,BRAND; MODEL; BALLS_NUMBER; TENNIS_BALL_TYPE; SALE_FORMAT; TENNIS_COURT_TYPE; TENNIS_BALL_COLOR
MLB802356585,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995503082,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802360225,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802356980,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995578338,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995529901,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995504157,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995518283,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995537909,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995518621,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802357004,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802355291,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995592846,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995596943,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995595102,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995594952,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995575796,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995528990,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995527047,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB995524599,MLB-GYM_GLOVES,GTIN,LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802360139,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB802355228,MLB-GYM_GLOVES,GTIN,BRAND; MODEL; LENGTH; SEX; GLOVE_MATERIAL; WITH_WRIST_CLOSURE
MLB984494525,MLB-BASKET_BALLS,GTIN,LINE; PITCH_TYPE; BASKET_BALL_SIZE; MATERIAL; HOOP
MLB984597245,MLB-BASKET_BALLS,GTIN,LINE; PITCH_TYPE; BASKET_BALL_SIZE; MATERIAL; HOOP
MLB984491973,MLB-BASKET_BALLS,GTIN,LINE; PITCH_TYPE; BASKET_BALL_SIZE; MATERIAL; HOOP
MLB890192685,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB890192695,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB890192682,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB890188966,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB890187026,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB890187020,MLB-PADDLE_TENNIS_RACKETS,GTIN,PADDLE_RACKET_OUTER_MATERIAL; HEAD_SHAPE; PROFILE_THICKNESS; PADDLE_RACKET_CORE_MATERIAL; WEIGHT
MLB972485121,MLB-TABLE_TENNIS_RACKETS,GTIN,RACKET_MATERIAL; IMPACT_SPEED; CONTROL_EFFECT; SPIN_EFFECT; INCLUDES_RACKET_COVER
MLB993996190,MLB-TABLE_TENNIS_RACKETS,GTIN,RACKET_MATERIAL; IMPACT_SPEED; CONTROL_EFFECT; SPIN_EFFECT; INCLUDES_RACKET_COVER
MLB971994604,MLB-TABLE_TENNIS_RACKETS,GTIN,BRAND; MODEL; RACKET_MATERIAL; IMPACT_SPEED; CONTROL_EFFECT; SPIN_EFFECT; INCLUDES_RACKET_COVER
MLB904871459,MLB-HAIR_TREATMENTS,GTIN,HAIR_TREATMENT_FRAGRANCE; HAIR_COLOR; HAIR_TREATMENT_PRESENTATION; TOTAL_CONTENT_WEIGHT; TOTAL_CONTENT_WEIGHT_KIT; TOTAL_CONTENT_VOLUME_KIT; KIT_PIECES; HAIR_CARE_TYPE; HAIR_TYPE
MLB904877341,MLB-HAIR_TREATMENTS,GTIN,HAIR_TREATMENT_NAME; TOTAL_CONTENT_VOLUME; HAIR_TREATMENT_FRAGRANCE; HAIR_COLOR; HAIR_TREATMENT_PRESENTATION; TOTAL_CONTENT_WEIGHT; TOTAL_CONTENT_WEIGHT_KIT; TOTAL_CONTENT_VOLUME_KIT; KIT_PIECES; HAIR_CARE_TYPE; HAIR_TYPE
MLB904869180,MLB-HAIR_TREATMENTS,GTIN,HAIR_TREATMENT_NAME; TOTAL_CONTENT_VOLUME; HAIR_TREATMENT_FRAGRANCE; HAIR_COLOR; HAIR_TREATMENT_PRESENTATION; TOTAL_CONTENT_WEIGHT; TOTAL_CONTENT_WEIGHT_KIT; TOTAL_CONTENT_VOLUME_KIT; KIT_PIECES; HAIR_CARE_TYPE; HAIR_TYPE
MLB904869178,MLB-HAIR_TREATMENTS,GTIN,HAIR_TREATMENT_NAME; TOTAL_CONTENT_VOLUME; HAIR_TREATMENT_FRAGRANCE; HAIR_COLOR; HAIR_TREATMENT_PRESENTATION; TOTAL_CONTENT_WEIGHT; TOTAL_CONTENT_WEIGHT_KIT; TOTAL_CONTENT_VOLUME_KIT; KIT_PIECES; HAIR_CARE_TYPE; HAIR_TYPE
MLB995099260,MLB-RESISTANCE_BANDS,GTIN,RESISTANCE; LENGTH; SALE_FORMAT; RESISTANCE_BAND_WITH_HANDLES
MLB876250974,MLB-BACKPACKS,GTIN,MODEL; BACKPACK_CAPACITY; HEIGHT; WIDTH; DEPTH; BACKPACK_TYPE; MATERIAL
MLB876247886,MLB-BACKPACKS,GTIN,MODEL; BACKPACK_CAPACITY; HEIGHT; WIDTH; DEPTH; BACKPACK_TYPE; MATERIAL
MLB920396060,MLB-BICYCLE_PEDALS,GTIN,BRAND; MODEL; PEDALS_TYPE; PEDALS_MATERIAL; BIKE_TYPE; INCLUDES_SHOE_PEDAL_CLEATS
191599505
MLB936934078,MLB-CELLPHONES,GTIN,INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB949297259,MLB-CELLPHONES,GTIN,INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB949292055,MLB-CELLPHONES,GTIN,MODEL; INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB949274224,MLB-CELLPHONES,GTIN,INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB936937518,MLB-CELLPHONES,GTIN,MODEL; INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB936934273,MLB-CELLPHONES,GTIN,INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB936930679,MLB-CELLPHONES,GTIN,INTERNAL_MEMORY; RAM; CARRIER; OPERATING_SYSTEM; CAMERA_RESOLUTION
MLB938118046,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB938134234,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB958871743,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB988766250,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB934523844,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB949338516,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
MLB938149847,MLB-BOOKS,ISBN,BOOK_TITLE; PUBLISHER; FORMAT
